DATE,CLVMNACSCAB1GQNO
1978-01-01,269213.1
1978-04-01,273578.7
1978-07-01,276860.8
1978-10-01,277225.6
1979-01-01,276014.7
1979-04-01,284268.6
1979-07-01,291679.8
1979-10-01,294296.5
1980-01-01,305719.3
1980-04-01,299474.1
1980-07-01,294079.1
1980-10-01,300430.1
1981-01-01,305516.9
1981-04-01,306784.5
1981-07-01,302958.5
1981-10-01,302881.1
1982-01-01,305003.1
1982-04-01,305033.9
1982-07-01,304944.0
1982-10-01,305919.2
1983-01-01,311708.9
1983-04-01,315147.5
1983-07-01,319504.0
1983-10-01,319623.1
1984-01-01,328196.8
1984-04-01,330233.9
1984-07-01,339795.4
1984-10-01,346853.4
1985-01-01,353654.1
1985-04-01,348795.5
1985-07-01,358935.8
1985-10-01,362399.5
1986-01-01,369194.4
1986-04-01,364187.5
1986-07-01,373693.2
1986-10-01,375739.4
1987-01-01,374166.2
1987-04-01,382387.7
1987-07-01,372416.5
1987-10-01,379170.6
1988-01-01,377754.8
1988-04-01,371963.5
1988-07-01,375106.5
1988-10-01,375643.6
1989-01-01,373188.5
1989-04-01,377589.9
1989-07-01,381263.4
1989-10-01,383932.6
1990-01-01,382536.0
1990-04-01,386668.4
1990-07-01,382865.8
1990-10-01,393117.7
1991-01-01,396453.9
1991-04-01,398526.7
1991-07-01,397553.2
1991-10-01,400468.0
1992-01-01,408984.3
1992-04-01,411117.2
1992-07-01,416502.9
1992-10-01,413521.5
1993-01-01,410800.7
1993-04-01,417932.9
1993-07-01,426260.1
1993-10-01,441426.4
1994-01-01,436393.8
1994-04-01,446556.5
1994-07-01,440490.3
1994-10-01,457898.6
1995-01-01,454321.6
1995-04-01,458285.8
1995-07-01,469084.9
1995-10-01,474872.0
1996-01-01,482044.2
1996-04-01,481383.8
1996-07-01,497425.4
1996-10-01,489445.4
1997-01-01,502587.1
1997-04-01,514710.3
1997-07-01,514157.3
1997-10-01,521421.1
1998-01-01,526452.1
1998-04-01,532417.5
1998-07-01,522867.7
1998-10-01,525541.8
1999-01-01,529341.9
1999-04-01,529583.5
1999-07-01,540464.9
1999-10-01,549762.4
2000-01-01,557889.0
2000-04-01,549832.4
2000-07-01,555169.0
2000-10-01,555387.2
2001-01-01,561884.8
2001-04-01,560886.3
2001-07-01,567791.1
2001-10-01,572725.5
2002-01-01,566838.3
2002-04-01,578615.9
2002-07-01,570028.8
2002-10-01,576465.6
2003-01-01,576603.0
2003-04-01,573857.3
2003-07-01,581920.5
2003-10-01,582107.1
2004-01-01,602729.1
2004-04-01,603970.0
2004-07-01,596996.0
2004-10-01,602861.5
2005-01-01,612688.7
2005-04-01,615901.6
2005-07-01,621010.9
2005-10-01,622408.4
2006-01-01,626391.7
2006-04-01,627174.6
2006-07-01,633610.5
2006-10-01,645207.4
2007-01-01,645692.9
2007-04-01,645682.1
2007-07-01,653967.7
2007-10-01,661084.0
2008-01-01,652778.4
2008-04-01,653104.1
2008-07-01,651910.7
2008-10-01,653952.7
2009-01-01,648552.8
2009-04-01,642848.0
2009-07-01,643261.9
2009-10-01,643605.0
2010-01-01,656163.0
2010-04-01,649188.2
2010-07-01,633078.3
2010-10-01,650850.5
2011-01-01,651459.3
2011-04-01,648766.0
2011-07-01,659219.4
2011-10-01,659559.2
2012-01-01,673869.3
2012-04-01,675458.3
2012-07-01,665667.0
2012-10-01,671107.7
2013-01-01,672118.8
2013-04-01,676974.1
2013-07-01,683614.0
2013-10-01,682402.3
2014-01-01,685956.7
2014-04-01,691026.0
2014-07-01,693930.9
2014-10-01,702413.9
2015-01-01,700610.8
2015-04-01,704324.3
2015-07-01,712577.5
2015-10-01,706320.6
2016-01-01,707265.0
2016-04-01,707041.0
2016-07-01,704869.8
2016-10-01,714310.6
2017-01-01,721415.3
2017-04-01,728365.9
2017-07-01,733356.9
2017-10-01,729178.7
2018-01-01,734858.5
2018-04-01,737068.7
2018-07-01,741712.5
2018-10-01,741962.3
2019-01-01,740314.2
2019-04-01,740449.1
2019-07-01,742639.4
2019-10-01,753833.2
2020-01-01,744022.7
2020-04-01,708479.2
2020-07-01,740469.9
2020-10-01,745777.4
2021-01-01,745507.6
2021-04-01,749957.3
2021-07-01,780158.3
2021-10-01,781103.5
2022-01-01,774451.9
2022-04-01,779952.6
